"AdGate Media","412%","$6.2m","Advertising & Marketing","New York","New York City",,10,
"Impact Express","411%","$4.3m","Logistics & Transportation","Tennessee","Memphis TN-MS-AR",,5,
"Municipay","411%","$2.9m","Government Services","Maine","Portland-South Portland ME",,8,
"Savage Race","411%","$4.1m","Health","Florida","Orlando FL",,25,
"Vee Technologies","410%","$11m","Business Products & Services","New York","New York City",,13,
"Brent Industries","410%","$13.4m","Consumer Products & Services","New York","Buffalo-Cheektowaga-Niagara Falls NY",,13,
"Golden Gate BPO Solutions","410%","$6.8m","Business Products & Services","Florida","Miami",,6,
"TACG","409%","$15.4m","Government Services","Ohio","Dayton OH",,66,
"Collective Bias","409%","$33.6m","Advertising & Marketing","Arkansas","Fayetteville-Springdale-Rogers AR-MO",,142,
"Virtuance","409%","$3.2m","Real Estate","Colorado","Denver",,17,
"Environmental Pest Service","409%","$43.9m","Environmental Services","Florida","North Port-Sarasota-Bradenton FL",,442,
"BryComm","408%","$10.2m","Telecommunications","Texas","Austin",,85,
"Klymit","408%","$5.6m","Consumer Products & Services","Utah","Ogden-Clearfield UT",,11,
"KTI Express Courier","408%","$2.6m","Logistics & Transportation","Alabama","Huntsville AL",,66,
"ThinkShout","408%","$2.7m","IT Services","Oregon","Portland OR",,20,
"Evolve Digital Labs","408%","$9.2m","Advertising & Marketing","Missouri","St. Louis MO-IL",,13,
"Core Nutritionals","407%","$2.3m","Health","Virginia","Washington DC",,3,
"Chelsoft Solutions Co.","406%","$3.3m","IT Services","Kansas","Kansas City MO-KS",,34,
"Accurate Rx Pharmacy","406%","$16.4m","Health","Missouri","Columbia MO",,25,
"APPS SOLUTIONS","405%","$10.1m","IT Services","Michigan","Detroit",,120,
"Corvette Mods","405%","$6m","Retail","Texas","Dallas",,15,
"inStream","405%","$14.1m","Advertising & Marketing","Massachusetts","Boston",,25,
"Spring & Sprout","405%","$6.7m","Health","Michigan","Monroe MI",,100,
"Safe Haven Security Services","404%","$53.1m","Security","Missouri","Kansas City MO-KS",,600,
"Design To Delivery","403%","$9.9m","Government Services","Maryland","Washington DC",,92,
"Controle","403%","$7.8m","Software","Illinois","Chicago",,27,
"Search Solution Group","401%","$3.8m","Human Resources","North Carolina","Charlotte",,27,
"Netsertive","400%","$45m","Advertising & Marketing","North Carolina","Durham-Chapel Hill NC",,212,
"perla machaen","400%","$40.6m","Real Estate","Florida","Miami",,10,
"Milholland Electric","399%","$8.9m","Energy","California","San Diego",,70,
"Brivity","397%","$3.9m","Real Estate","Washington","Bellingham WA",,14,
"Bonfire Marketing","397%","$3.3m","Advertising & Marketing","Oregon","Portland OR",,35,
"Palmetto Partners","397%","$4m","Government Services","Virginia","Washington DC",,600,
"Nationwide Logistics","396%","$24.6m","Logistics & Transportation","Ohio","Cincinnati",,1,
"Valor International","396%","$14.9m","Telecommunications","New York","New York City",,37,
"SMP Pharmacy Solutions","396%","$76.8m","Health","Florida","Miami",,95,
"Benchworks","395%","$31.1m","Advertising & Marketing","Maryland","#N/A",,67,
"Trusted Nurse Staffing","394%","$8.8m","Health","New York","Buffalo-Cheektowaga-Niagara Falls NY",,280,
"D&B Elite","394%","$4.9m","Construction","Pennsylvania","Reading PA",,13,
"XOOM Energy","394%","$289m","Energy","North Carolina","Charlotte",,151,
"CloudOne","393%","$10.4m","IT Services","Indiana","Indianapolis IN",,44,
"American Family Care","393%","$433.1m","Health","Alabama","Birmingham-Hoover AL",,1464,
"Digital Fusion","392%","$3.5m","Advertising & Marketing","Colorado","Denver",,17,
"digiCircle.com","392%","$10.3m","Consumer Products & Services","California","San Francisco",,15,
"PlanOmatic","391%","$5.7m","Software","Colorado","Denver",,43,
"Grandex","391%","$9.4m","Retail","Texas","Austin",,44,
"BridgeHealth Medical","391%","$11.7m","Health","Colorado","Denver",,45,
"SightComm","390%","$13.7m","Government Services","Virginia","Washington DC",,96,
"Turnstyle Brands","389%","$5.8m","Consumer Products & Services","Oregon","Portland OR",,12,
"Pinnacle Group","389%","$1.1b","IT Services","Texas","Dallas",,1936,
"FireFly Computers","389%","$16.7m","Computer Hardware","Minnesota","Minneapolis",,40,
"Tabula Rasa HealthCare","388%","$70m","Health","New Jersey","Philadelphia",,183,
"Detroit IT","388%","$2.5m","IT Services","Michigan","Detroit",,12,
"Sky Technology Partners","388%","$2m","IT Services","New Jersey","New York City",,7,
"Diamond Hair Company","388%","$2m","Consumer Products & Services","Indiana","Indianapolis IN",,5,
"BrandXads","387%","$5.1m","Advertising & Marketing","New York","Albany-Schenectady-Troy NY",,12,
"Renue Physical Therapy","387%","$3.1m","Health","Michigan","Bay City MI",,39,
"SimplePart","386%","$2.4m","Software","Georgia","Atlanta",,36,
"Federated Law Group","385%","$4.1m","Financial Services","Florida","Miami",,57,
"hCentive","384%","$50.5m","Health","Virginia","Washington DC",,817,
"Tender Belly","384%","$6.1m","Food & Beverage","Colorado","Denver",,12,
"Response","384%","$46.9m","Education","Utah","Provo-Orem UT",,514,
"Neumann Companies","384%","$22.4m","Real Estate","Wisconsin","Milwaukee-Waukesha-West Allis WI",,10,
"Moore Family Hearing Company","384%","$15.4m","Health","California","Sacramento CA",,75,
"HPC Wireless Services","383%","$23.9m","Telecommunications","Connecticut","Bridgeport-Stamford-Norwalk CT",,75,
"TEKWISSEN","382%","$17.2m","Software","Michigan","Ann Arbor MI",,350,
"Media Bridge Advertising","382%","$10.5m","Advertising & Marketing","Minnesota","Minneapolis",,6,
"See Agency","382%","$2.5m","Business Products & Services","Texas","Dallas",,12,
"Swiftpage","381%","$26.2m","Software","Colorado","Denver",,154,
"Unique System Skills","381%","$2m","IT Services","New Hampshire","Manchester-Nashua NH",,78,
"Elite Medical Scribes","380%","$12.9m","Health","Minnesota","Minneapolis",,850,
"Simpli.fi","379%","$51.5m","Advertising & Marketing","Texas","Dallas",,128,
"Edgile","379%","$41.6m","IT Services","Texas","Austin",,94,
"Clinical Management Consultants","377%","$3.7m","Health","California","San Francisco",,18,
"TRU Staffing Partners","377%","$8.4m","Human Resources","New York","New York City",,22,
"Chartis Consulting","377%","$10.1m","Government Services","Virginia","Washington DC",,43,
"360 Payment Solutions","377%","$3.9m","Financial Services","California","San Jose",,26,
"Barker Cabinets","376%","$7.2m","Consumer Products & Services","Oregon","Portland OR",,50,
"Symphony Placements","376%","$7.5m","Human Resources","Maryland","Baltimore",,598,
"Digital Intent","375%","$9.2m","IT Services","Illinois","Chicago",,61,
"Illuminati Studios","374%","$3.2m","Advertising & Marketing","Florida","Miami",,18,
"Big Leap","374%","$2m","Advertising & Marketing","Utah","Provo-Orem UT",,35,
"Creminelli Fine Meats","373%","$29.5m","Food & Beverage","Utah","Salt Lake City",,56,
"Mobile Advance","371%","$15.3m","Computer Hardware","California","Los Angeles",,6,
"VTECH SOLUTION","371%","$2.8m","Government Services","District of Columbia","Washington DC",,28,
"9Gauge Partners","370%","$5.4m","Business Products & Services","Texas","Austin",,48,
"ATSI","370%","$7.2m","Government Services","Virginia","Washington DC",,55,
"N2 Publishing","370%","$100m","Media","North Carolina","Wilmington NC",,200,
"OneTaste","370%","$8m","Health","California","San Francisco",,28,
"The Loken Group","370%","$3.2m","Real Estate","Texas","Houston",,36,
"Corps Solutions","369%","$21.8m","Government Services","Virginia","Washington DC",,175,
"TradeMark Media","369%","$3.2m","IT Services","Texas","Austin",,24,
"Solutions By Design II","369%","$37.6m","IT Services","Virginia","Washington DC",,178,
"HookLogic","369%","$111.3m","Advertising & Marketing","New York","New York City",,147,
"HighJump","369%","$164.4m","Software","Minnesota","Minneapolis",,785,
"Free Flow Wines","368%","$4.5m","Food & Beverage","California","Napa CA",,42,
"Silotech Group","367%","$5.5m","IT Services","Texas","San Antonio TX",,64,
"Pivotal Point","367%","$3.2m","Government Services","Virginia","Washington DC",,33,
"Impact Makers","366%","$17.8m","IT Services","Virginia","Richmond VA",,100,
"The Mayvin Consulting Group","366%","$11.4m","Government Services","Virginia","Washington DC",,73,
"Coronado Distribution Company","365%","$9.7m","Government Services","California","San Diego",,15,
"How to Manage a Small Law Firm","365%","$4.8m","Business Products & Services","Florida","Miami",,30,
"CentraLite Systems","364%","$35.7m","Consumer Products & Services","Alabama","Mobile AL",,120,
"Devbridge Group","364%","$11.1m","Software","Illinois","Chicago",,160,
"Redline Automotive Merchandising","363%","$5.2m","Advertising & Marketing","New Jersey","Philadelphia",,110,
"GraphicBomb","362%","$2m","Advertising & Marketing","Washington","Seattle",,9,
"ProfitOptics","362%","$2.6m","IT Services","Virginia","Richmond VA",,40,
"Aggressive","362%","$2.5m","Media","New Jersey","New York City",,4,
"iWorks","361%","$18.8m","Government Services","Virginia","Washington DC",,75,
"ValuD Consulting","359%","$6.8m","IT Services","Texas","Dallas",,130,
"SecuriGence","359%","$3.4m","IT Services","Virginia","Washington DC",,20,
"NuQuest Industries","359%","$6.7m","Energy","California","Los Angeles",,59,
"Kitchen Cabinet Kings","359%","$6.5m","Retail","New York","New York City",,10,
"Victory Tailgate","358%","$21.5m","Manufacturing","Florida","Orlando FL",,250,
"Shivoy","357%","$4.6m","Government Services","Virginia","Washington DC",,21,
"Watters International Realty","356%","$3.3m","Real Estate","Texas","Austin",,30,
"Investment Property Coach","355%","$4.8m","Real Estate","Utah","Salt Lake City",,9,
"Ascendo Resources","355%","$26.4m","Human Resources","Florida","Miami",,90,
"Dietitians On Demand","354%","$4.5m","Health","Virginia","Richmond VA",,47,
"Advanced Rx Management","354%","$28m","Health","California","San Francisco",,80,
"Renewal by Andersen","354%","$67.1m","Construction","Texas","Austin",,350,
"Intellectual Capitol","354%","$2.7m","IT Services","South Carolina","Greenville-Anderson-Mauldin SC",,22,
"Shake Smart","354%","$2.2m","Food & Beverage","California","San Diego",,95,
"A Square Group","354%","$7.7m","IT Services","Maryland","Washington DC",,64,
"365 Retail Markets","354%","$23.5m","Business Products & Services","Michigan","Detroit",,104,
"Medical Staffing Options","354%","$21m","Health","Ohio","Columbus OH",,308,
"Solve","353%","$5.1m","Advertising & Marketing","Minnesota","Minneapolis",,41,
"IdealShape","352%","$19.9m","Retail","Utah","Provo-Orem UT",,62,
"Bluetube","352%","$4.7m","Advertising & Marketing","Georgia","Atlanta",,42,
"IQ Formulations","352%","$16.2m","Health","Florida","Miami",,47,
"The Duncan Duo & Associates","352%","$5.7m","Real Estate","Florida","Tampa",,11,
"Southern Marsh Collection","352%","$22.1m","Retail","Louisiana","Baton Rouge LA",,44,
"iDrive Logistics","352%","$50.9m","Logistics & Transportation","Utah","Provo-Orem UT",,17,
"Accordant Media","351%","$57.2m","Advertising & Marketing","New York","New York City",,61,
"HAP INVESTMENTS","351%","$5m","Real Estate","New York","New York City",,22,
"ClickSpark","351%","$21.7m","Advertising & Marketing","New York","Rochester NY",,215,
"i.d.e.a.","350%","$12.5m","Advertising & Marketing","California","San Diego",,53,
"RV Horizons","350%","$51.7m","Real Estate","Colorado",,,500,
"Ian Evan & Alexander","349%","$29.9m","Government Services","Virginia","Washington DC",,167,
"United Drug Supply","349%","$11.2m","Health","North Carolina","Durham-Chapel Hill NC",,15,
"Spend Management Experts","349%","$8.2m","Logistics & Transportation","Georgia","Atlanta",,32,
"Spartan Value Investors","349%","$8.7m","Real Estate","Alabama","Birmingham-Hoover AL",,9,
"Beekman 1802","349%","$5.2m","Consumer Products & Services","New York","Amsterdam NY",,15,
"Stored Technology Solutions","348%","$4.4m","IT Services","New York","Glens Falls NY",,27,
"Corefact","348%","$12m","Advertising & Marketing","California","San Francisco",,50,
"Armor","347%","$48.6m","Security","Texas","Dallas",,246,
"Madwire","347%","$30.8m","Advertising & Marketing","Colorado","Fort Collins CO",,239,
"Toilettree Products","347%","$7.5m","Consumer Products & Services","New York","New York City",,6,
"Boli Naturals","347%","$5.7m","Health","Utah","Provo-Orem UT",,10,
"MicroSystems Automation Group","346%","$25.4m","Government Services","Virginia","Washington DC",,175,
"Fifteen Five","346%","$4.3m","Business Products & Services","Texas","Austin",,180,
"Tower Paddle Boards","346%","$7.1m","Consumer Products & Services","California","San Diego",,8,
"Limeade","345%","$19.5m","Human Resources","Washington","Seattle",,162,
"MediaMath","344%","$601m","Advertising & Marketing","New York","New York City",,730,
"Dovel Technologies","344%","$68.2m","IT Services","Virginia","Washington DC",,201,
"InviteManager","343%","$14.1m","Business Products & Services","California","Los Angeles",,45,
"Channel Factory","343%","$17m","Advertising & Marketing","California","Los Angeles",,50,
"Movement Mortgage","343%","$363.2m","Financial Services","South Carolina","Charlotte",,3006,
"Selling Simplified","342%","$4.6m","Software","Colorado","Denver",,143,
"Clicks and Clients","342%","$5m","Advertising & Marketing","Colorado","Denver",,14,
"Akervall Technologies","342%","$2.4m","Retail","Michigan","Adrian MI",,17,
"Priority Lighting","342%","$2.4m","Construction","California","Riverside-San Bernardino-Ontario CA",,8,
"Secure One Capital","341%","$5.9m","Financial Services","California","Los Angeles",,60,
"Business Promotion","341%","$6.1m","Advertising & Marketing","Utah","Provo-Orem UT",,88,
"Harmonia Holdings Group","341%","$35.7m","Software","Virginia","Blacksburg-Christiansburg-Radford VA",,312,
"CEO Coaching International","341%","$4.9m","Business Products & Services","California","Los Angeles",,7,
"Confirm Biosciences","341%","$9.2m","Health","California","San Diego",,30,
"Shop The BOSS","340%","$5.7m","Retail","Texas","Dallas",,12,
"American Insurance Organization","340%","$12.8m","Insurance","Pennsylvania","Allentown-Bethlehem-Easton PA-NJ",,20,
"MJ Freeway","340%","$3.9m","Software","Colorado","Denver",,31,
"Shopoff Realty Investments","340%","$12.3m","Real Estate","California","Los Angeles",,57,
"HomElectrical","340%","$3.1m","Construction","Georgia","Atlanta",,15,
"Tembo","340%","$2.5m","Education","Pennsylvania","Philadelphia",,21,
"EVERYTHING BUT THE HOUSE","340%","$30.1m","Consumer Products & Services","Ohio","Cincinnati",,450,
"Solutions YES","340%","$8.1m","Business Products & Services","Oregon","Portland OR",,36,
"Today's Growth Consultant","339%","$10.3m","IT Services","Illinois","Chicago",,80,
"PointSource","339%","$16.3m","Software","North Carolina","Raleigh NC",,110,
"Paradowski","339%","$28.6m","Advertising & Marketing","Missouri","St. Louis MO-IL",,50,
"ScribeAmerica","338%","$141.3m","Health","Florida","Miami",,9255,
"Sixth Gear Studios","338%","$3.7m","Software","California","San Francisco",,315,
"GovDirect","338%","$7.2m","Computer Hardware","Florida","Tampa",,6,
"JJ Virgin & Associates","338%","$6.7m","Health","California","Riverside-San Bernardino-Ontario CA",,3,
"Two Maids & A Mop","337%","$3.8m","Consumer Products & Services","Alabama","Birmingham-Hoover AL",,312,
"Future Force","337%","$3.9m","Business Products & Services","California","San Diego",,1,
"Superior Spooling & Energy Services","337%","$2.5m","Energy","Oklahoma","Oklahoma City OK",,8,
"d'aprile properties","337%","$8.8m","Real Estate","Illinois","Chicago",,27,
"Breckenridge Landscape","337%","$3.3m","Construction","Wisconsin","Milwaukee-Waukesha-West Allis WI",,9,
"Precision Precast Erectors","336%","$4.1m","Construction","Idaho","Coeur d'Alene ID",,12,
"Cyber Group","336%","$11.5m","Engineering","Texas","Dallas",,51,
"US GREEN","336%","$2.7m","Energy","California","San Diego",,21,
